model,roc_auc,roc_auc_std,pr_auc,pr_auc_lift,brier,folds
random_forest,0.8381656804733728,0.06384365860954241,0.8168626734018091,1.6337253468036181,0.1581156791310457,5
logistic_l1,0.8133136094674557,0.0439963808029271,0.8148445479153905,1.629689095830781,0.17245030895930077,5
hist_gbm,0.81301775147929,0.060666039383184316,0.8109363809340726,1.6218727618681452,0.2079693229662129,5
logistic,0.8091715976331362,0.05565748539795435,0.8216022722590128,1.6432045445180257,0.17726173436049206,5
dummy,0.5,0.0,0.5,1.0,0.25,5
