feature,coef,odds_ratio
genre_main_게임,0.9033868862745276,2.467947630166701
episode_num,-0.8714795169402919,0.41833216164357706
missingindicator_prev_churn_step,0.854578645849296,2.350383827921179
episodes_from_paywall,-0.5203066238799627,0.5943382817180789
preference_count,-0.51585128617482,0.5969921670619713
prev_new_commenter_ratio,0.4776741210770248,1.612319976665005
genre_main_스포츠,-0.4474833097557573,0.6392348851476579
prev_returning_commenter_ratio,0.4406392801709199,1.5537001507945185
genre_main_무협,-0.43982138522033903,0.6441514657806225
genre_main_기타,-0.42776300138017376,0.6519659115114569
prev_retention_from_first,-0.37792071437198976,0.685284831750256
genre_main_대체역사,-0.3553139923519758,0.7009533146711435
prev_commenter_count,0.33395706373689654,1.3964831825179185
is_free,-0.30833355205114704,0.7346702263750085
genre_main_현대판타지,-0.29994559373940355,0.740858526927333
missingindicator_sent_n_comments,0.27051144417429795,1.3106345957763936
genre_main_퓨전,-0.2561204505347177,0.7740487285936886
reaction_entropy,-0.2553767702621836,0.7746245874640242
has_paywall,-0.24470773506166407,0.7829333287675685
missingindicator_episodes_from_paywall,0.2447077350616631,1.2772479638516854
reaction_best_pct,0.23716613224840752,1.2676516981095116
genre_main_로맨스,-0.2168987971169166,0.8050114346607703
d_reaction_best_pct,-0.20673564167665454,0.8132346069106626
sent_hostility,0.20630847911246838,1.2291323071628213
status_code,0.17729076720495832,1.1939782123668388
prev_comment_per_view,0.1580701727905646,1.1712483815913748
sent_complaint,-0.14185730021399134,0.8677450746877565
d_sent_anticipation,-0.1397964569019415,0.8695352052772493
d_sent_boredom,-0.13862446412092352,0.8705548916765072
sent_tension,0.13775516878117613,1.1476945244243795
d_reaction_funny_pct,0.12766560216262074,1.1361730053695747
genre_main_판타지,0.12692457030878768,1.1353313768564128
sent_boredom,0.12033125414738075,1.127870401454177
d_sent_enjoyment,-0.11727471673447973,0.8893408427892091
sent_enjoyment,0.11621005927371608,1.1232317926083155
d_reaction_entropy,0.1115845109911988,1.1180482273769365
days_since_first,0.1014802862162388,1.1068080988013382
reaction_funny_pct,-0.10102807750772788,0.9039076530554506
sent_anticipation,0.09440175555235164,1.0990011870644643
prev_reaction_per_view,-0.09033303794171535,0.9136268621887953
prev_like_per_view,-0.09033303794171535,0.9136268621887953
sent_confusion,0.07610680931144134,1.0790778235616458
d_sent_attachment,0.07440961829926426,1.0772479756180324
prev_churn_step,0.07096175505623004,1.0735401675998821
sent_n_comments,-0.07076021471248746,0.9316852697654682
d_sent_tension,-0.05982036005700138,0.9419337273079004
sent_churn_index,-0.053199968886252634,0.9481903849478932
d_sent_complaint,-0.050077371645175894,0.9511558291623335
d_sent_hostility,-0.04931587207176974,0.9518804097693808
missingindicator_d_reaction_impressed_pct,0.04714969810904099,1.0482789227070026
missingindicator_d_reaction_entropy,0.04714969810904099,1.0482789227070026
missingindicator_d_reaction_funny_pct,0.04714969810904099,1.0482789227070026
missingindicator_d_reaction_amazing_pct,0.04714969810904099,1.0482789227070026
missingindicator_d_reaction_cheer_pct,0.04714969810904099,1.0482789227070026
missingindicator_d_reaction_best_pct,0.04714969810904099,1.0482789227070026
genre_main_전쟁·밀리터리,0.045397538977706216,1.0464437794214287
missingindicator_sent_attachment,0.045172520668840255,1.046208336902292
missingindicator_sent_tension,0.045172520668840255,1.046208336902292
missingindicator_sent_confusion,0.045172520668840255,1.046208336902292
missingindicator_sent_complaint,0.045172520668840255,1.046208336902292
missingindicator_sent_churn_index,0.045172520668840255,1.046208336902292
missingindicator_sent_boredom,0.045172520668840255,1.046208336902292
missingindicator_sent_enjoyment,0.045172520668840255,1.046208336902292
missingindicator_sent_anticipation,0.045172520668840255,1.046208336902292
missingindicator_sent_hostility,0.045172520668840255,1.046208336902292
reaction_cheer_pct,-0.043782789876315335,0.9571618401368022
reaction_impressed_pct,0.043191397541494175,1.0441377211196778
missingindicator_reaction_funny_pct,-0.04100490042182712,0.959824426391705
missingindicator_reaction_impressed_pct,-0.04100490042182712,0.959824426391705
missingindicator_reaction_best_pct,-0.04100490042182712,0.959824426391705
missingindicator_reaction_amazing_pct,-0.04100490042182712,0.959824426391705
missingindicator_reaction_cheer_pct,-0.04100490042182712,0.959824426391705
missingindicator_reaction_entropy,-0.04100490042182712,0.959824426391705
missingindicator_d_sent_attachment,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_complaint,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_hostility,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_churn_index,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_anticipation,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_enjoyment,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_confusion,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_boredom,-0.040554140311251194,0.9602571744817399
missingindicator_d_sent_tension,-0.040554140311251194,0.9602571744817399
d_reaction_amazing_pct,-0.03419054538193332,0.9663873464467932
sent_attachment,0.03198560341266222,1.0325026406836757
reaction_amazing_pct,0.027635916514358524,1.0280213306881636
