순위,요인,컬럼수,중요도,표준편차,기준성능
1,댓글 감정(KOTE),10,0.04144970414201186,0.039237161116810734,0.8381656804733728
2,독자 반응 구성,6,0.039644970414201224,0.037083884010112075,0.8381656804733728
3,작품 인기도(선작),1,0.02766272189349115,0.03158517860611632,0.8381656804733728
4,독자 인구통계,6,0.011390532544378731,0.02483489474064316,0.8381656804733728
5,연재 리듬(공백),2,0.002218934911242636,0.008338000397066229,0.8381656804733728
6,장르,1,2.958579881658041e-05,0.003379651468136443,0.8381656804733728
7,작품 규모·상태,4,-0.0013017751479289786,0.006445631415927197,0.8381656804733728
8,페이월 구조,1,-0.004023668639053239,0.0048074874785679405,0.8381656804733728
9,회차 분량,2,-0.005384615384615372,0.006660156946878444,0.8381656804733728
