순위,요인,컬럼수,중요도,표준편차,기준성능
1,독자 참여 이력,4,0.26547791147324235,0.005937418980998537,0.8442180919295088
2,연재 위치,2,0.09421455624937089,0.0031132022576613226,0.8442180919295088
3,댓글 작성 양상,8,0.018269717581239395,0.0020687444119949897,0.8442180919295088
4,독자 이탈 징후,1,0.0009804300269837273,0.00021787965750020495,0.8442180919295088
