model,roc_auc,roc_auc_std,pr_auc,pr_auc_lift,brier,folds
hist_gbm,0.8442180919295088,0.003760390245316003,0.7938480665516711,1.771079785102558,0.1573959286224776,5
random_forest,0.8379210446798513,0.004288242917396994,0.7826220762543962,1.746034533597915,0.1607757502740278,5
logistic_l1,0.7913088577558168,0.005817194219944698,0.7279800993261181,1.624127956214553,0.18656907709594683,5
logistic,0.7913026992500519,0.005812273006530156,0.7279746316065806,1.6241157576995582,0.18656297207757883,5
dummy,0.5,0.0,0.4482282917060688,0.9999999999999999,0.24732989851374404,5
