feature,coef,odds_ratio
episodes_commented_so_far,-1.0659725537276326,0.344392751386482
episode_num,0.7419658736770215,2.100059911644657
max_consecutive_so_far,-0.49127124342619477,0.6118480917188575
engagement_density_so_far,0.38635865097156447,1.4716123713856892
cur_comment_count,-0.21673043046918067,0.8051469831480152
mean_body_len_so_far,0.21081294112971533,1.2346813753554309
comments_so_far,0.19183959769740777,1.2114761778106369
reply_ratio_so_far,-0.17623267354310176,0.8384228818179431
gap_from_prev_appearance,0.12598649203387363,1.134266846541401
cur_dislike_count,0.08219048027041838,1.0856625874386348
cur_is_reply,0.07955574657208131,1.0828059205652636
novel_progress,-0.050719582645305475,0.9505451825289883
cur_body_char_len,0.027339971466992144,1.027717137881157
mean_like_received_so_far,0.022429498384966714,1.0226829308244847
cur_like_count,-0.0171230022651014,0.9830227631717388
