model,roc_auc,roc_auc_std,pr_auc,pr_auc_lift,brier,folds
random_forest,0.8968200862106002,0.011578703941355259,0.7799029402415899,3.1190851553348664,0.10623274126639537,5
hist_gbm,0.8907621580892447,0.011535510412874747,0.774381312464187,3.097002372535705,0.11242112591882654,5
logistic_l1,0.8674201635123371,0.01821152365792436,0.7288893039853055,2.9150650557089564,0.11782064147647472,5
logistic,0.8662962454882462,0.018127395112560556,0.7249497658631755,2.899309563273186,0.1184281053069333,5
dummy,0.5,0.0,0.2500414813547725,0.9999970925484926,0.18763650941588214,5
