feature,coef,odds_ratio
preference_count,-1.4495915872199365,0.2346661091632211
genre_main_게임,1.294430301510437,3.6489165996139064
reaction_entropy_mean,-1.1336335500820856,0.32186162877977414
genre_main_판타지,0.8242158812154783,2.280092201072226
genre_main_퓨전,-0.7781081916382313,0.45927404845157405
sent_tension_mean,0.7369160900347658,2.089481794535216
sent_hostility_mean,-0.6898140096318239,0.5016693660597116
reaction_impressed_pct_mean,0.6896896784075895,1.993096936250959
free_chapter_count,0.6381961510811662,1.8930629979188285
sent_complaint_mean,0.5582077319916876,1.7475376360783694
genre_main_대체역사,-0.5482689596129883,0.5779493987178196
sent_enjoyment_mean,0.4949485615200801,1.6404138564915898
reader_age10s_pct,0.4853445959973768,1.624734789494863
sent_confusion_mean,-0.40812581509998447,0.664895219701176
reaction_funny_pct_mean,-0.4069917588686752,0.6656496759853132
gap_std,0.3969682073447289,1.4873086438086387
reaction_best_pct_mean,0.3551137168893712,1.4263428443308654
sent_boredom_mean,0.3317825155923392,1.3934497619593267
genre_main_현대판타지,-0.3102054276886054,0.7332963013862248
pages_mean,0.3072703239831795,1.3597084802084032
reaction_cheer_pct_mean,0.28674686616759504,1.3320869745132258
reader_age20s_pct,0.2864228235038563,1.331655391431115
reaction_amazing_pct_mean,-0.25154304561508456,0.7775999846197122
genre_main_로맨스,-0.22941695116616237,0.7949969894692062
sent_attachment_mean,-0.20892532001985628,0.8114558328861703
genre_main_스포츠,-0.19837684952912354,0.8200607553902972
reader_age40s_pct,-0.19609263946838776,0.8219360874289325
reader_age50s_pct,-0.1879837668485486,0.8286281583698949
missingindicator_reaction_entropy_mean,0.16480419676098862,1.179162212325526
missingindicator_reaction_impressed_pct_mean,0.16480419676098862,1.179162212325526
missingindicator_reaction_funny_pct_mean,0.16480419676098862,1.179162212325526
missingindicator_reaction_best_pct_mean,0.16480419676098862,1.179162212325526
missingindicator_reaction_cheer_pct_mean,0.16480419676098862,1.179162212325526
missingindicator_reaction_amazing_pct_mean,0.16480419676098862,1.179162212325526
sent_n_comments_mean,0.15473706481790664,1.1673509831059257
gap_mean,0.15454988020657026,1.1671324934154519
chapter_count,0.14707124469795774,1.1584364925479398
genre_main_무협,-0.117597862776225,0.8890535022450796
reader_male_ratio,-0.08512091585762382,0.9184012284152011
total_characters,0.0812302164250611,1.0846205652958267
genre_main_전쟁·밀리터리,0.0791706945971083,1.0823890642678582
status_code,0.07192736964133974,1.0745772942951637
pages_std,0.06156245483334086,1.0634969149772848
sent_anticipation_mean,-0.03689515518348791,0.9637771770934003
missingindicator_sent_anticipation_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_attachment_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_boredom_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_enjoyment_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_complaint_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_hostility_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_confusion_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_tension_mean,0.034205225012989206,1.0347969511559207
missingindicator_sent_churn_index_mean,0.034205225012989206,1.0347969511559207
genre_main_기타,0.020003735820118794,1.0202051513225663
sent_churn_index_mean,0.01927255644953282,1.0194594710084066
reader_age30s_pct,0.013158440649598565,1.013245393900921
missingindicator_sent_n_comments_mean,0.00913250810799105,1.0091743366965051
is_adult,0.0,1.0
